Type	Frequency	bleu	chrf	macrof	microf	macrobleu	microbleu
río	1	99.99329	0.999976	99.98495	99.99573	99.97697	99.99110	
rinse	1	99.99329	0.999970	99.98495	99.99573	99.97961	99.99183	
rim	1	99.99329	0.999976	99.98495	99.99573	99.98015	99.99159	
rike	1	99.99329	0.999973	99.98495	99.99573	99.97833	99.99182	
ried	1	99.99329	0.999973	99.98495	99.99573	99.98255	99.99149	
riesen	1	99.99329	0.999967	99.98495	99.99573	99.97436	99.99170	
riders	1	99.99329	0.999967	99.98495	99.99573	99.98263	99.99059	
ride	1	99.99329	0.999973	99.98495	99.99573	99.98349	99.99173	
rid	1	99.99329	0.999976	99.98495	99.99573	99.98278	99.99163	
rich	1	99.99329	0.999973	99.98495	99.99573	99.98289	99.99176	
richard	1	99.99329	0.999964	99.98495	99.99573	99.97928	99.99158	
ribbon	1	99.99329	0.999967	99.98495	99.99573	99.98067	99.99128	
rhymes	1	99.99544	0.999977	99.98495	99.99573	99.98450	99.99324	
review	1	99.99751	0.999982	99.98495	99.99573	99.98495	99.99573	
revision	1	99.99329	0.999961	99.98495	99.99573	99.98164	99.99177	
revived	1	99.99402	0.999969	99.98495	99.99573	99.98427	99.99270	
reveal	1	99.99329	0.999967	99.98495	99.99573	99.98433	99.99223	
reuss	1	99.99329	0.999970	99.98495	99.99573	99.98355	99.99204	
returns	1	99.99402	0.999965	99.98495	99.99573	99.98221	99.99196	
returned	1	99.99329	0.999961	99.98495	99.99573	99.98336	99.99135	
retrofits	1	99.99329	0.999958	99.98495	99.99573	99.98391	99.99307	
retrofit	1	99.99329	0.999961	99.98495	99.99573	99.97490	99.99107	
retreating	1	99.99544	0.999965	99.98495	99.99573	99.98389	99.99259	
retreated	1	99.99329	0.999958	99.98495	99.99573	99.98164	99.99164	
retreat	1	99.99544	0.999974	99.98495	99.99573	99.98440	99.99242	
retirement	1	99.99329	0.999955	99.98495	99.99573	99.98391	99.99175	
retiree	1	99.99329	0.999969	99.98495	99.99573	99.98482	99.99107	
resulting	1	99.99544	0.999961	99.98495	99.99573	99.98290	99.99319	
restructuring	1	99.99751	0.999961	99.98495	99.99573	99.98495	99.99573	
restricted	1	99.99544	0.999965	99.98495	99.99573	99.98399	99.99255	
restraint	1	99.99544	0.999959	99.98495	99.99573	99.98369	99.99421	
restrained	1	99.99329	0.999955	99.98495	99.99573	99.98390	99.99175	
resting	1	99.99329	0.999964	99.98495	99.99573	99.98127	99.99183	
response	1	99.99751	0.999976	99.98495	99.99573	99.98495	99.99573	
responsibility	1	99.99329	0.999943	99.98495	99.99573	99.98274	99.99176	
responders	1	99.99402	0.999955	99.98495	99.99573	99.98407	99.99232	
responded	1	99.99329	0.999958	99.98495	99.99573	99.97761	99.99105	
resperger	1	99.99329	0.999958	99.98495	99.99573	99.98256	99.99192	
respective	1	99.99329	0.999960	99.98495	99.99573	99.98272	99.99210	
respected	1	99.99544	0.999968	99.98495	99.99573	99.98403	99.99308	
resigns	1	99.99402	0.999964	99.98495	99.99573	99.98326	99.99197	
resolved	1	99.99329	0.999961	99.98495	99.99573	99.98330	99.99165	
residence	1	99.99329	0.999958	99.98495	99.99573	99.98461	99.99209	
reserves	1	99.99329	0.999966	99.98495	99.99573	99.98329	99.99177	
research	1	99.99329	0.999961	99.98495	99.99573	99.97963	99.99178	
reschedules	1	99.99402	0.999952	99.98495	99.99573	99.98244	99.99176	
requiring	1	99.99329	0.999958	99.98495	99.99573	99.97898	99.99079	
required	1	99.99544	0.999971	99.98495	99.99573	99.98433	99.99224	
requirements	1	99.99329	0.999949	99.98495	99.99573	99.98390	99.99172	
require	1	99.99329	0.999964	99.98495	99.99573	99.98415	99.99154	
requested	1	99.99402	0.999958	99.98495	99.99573	99.97857	99.99119	
republican	1	99.99329	0.999955	99.98495	99.99573	99.97950	99.99147	
represented	1	99.99544	0.999962	99.98495	99.99573	99.98394	99.99338	
reporters	1	99.99329	0.999963	99.98495	99.99573	99.97852	99.99192	
replacing	1	99.99329	0.999958	99.98495	99.99573	99.98183	99.99177	
replacements	1	99.99329	0.999949	99.98495	99.99573	99.98390	99.99177	
repertoire	1	99.99329	0.999960	99.98495	99.99573	99.98083	99.99159	
repeatedly	1	99.99329	0.999955	99.98495	99.99573	99.98292	99.99219	
repeated	1	99.99329	0.999966	99.98495	99.99573	99.98384	99.99157	
repatriation	1	99.99329	0.999949	99.98495	99.99573	99.97892	99.99133	
reorganization	1	99.99329	0.999944	99.98495	99.99573	99.98455	99.99111	
renegotiation	1	99.99329	0.999946	99.98495	99.99573	99.98355	99.99071	
renovation	1	99.99329	0.999955	99.98495	99.99573	99.98366	99.99103	
renato	1	99.99751	0.999982	99.98495	99.99573	99.98495	99.99573	
remove	1	99.99329	0.999972	99.98495	99.99573	99.97981	99.99118	
renaissance	1	99.99544	0.999962	99.98495	99.99573	99.98488	99.99152	
remember	1	99.99329	0.999961	99.98495	99.99573	99.97992	99.99124	
reminiscent	1	99.99329	0.999952	99.98495	99.99573	99.98122	99.99166	
reminds	1	99.99329	0.999964	99.98495	99.99573	99.97686	99.99143	
remedy	1	99.99329	0.999967	99.98495	99.99573	99.98196	99.99239	
remarkable	1	99.99329	0.999955	99.98495	99.99573	99.98473	99.99232	
remaining	1	99.99329	0.999958	99.98495	99.99573	99.97940	99.99177	
remainder	1	99.99329	0.999958	99.98495	99.99573	99.98461	99.99105	
religious	1	99.99329	0.999958	99.98495	99.99573	99.98021	99.99168	
relocated	1	99.99329	0.999958	99.98495	99.99573	99.98219	99.99220	
religion	1	99.99544	0.999971	99.98495	99.99573	99.98466	99.99265	
relegation	1	99.99329	0.999955	99.98495	99.99573	99.98355	99.99166	
relegated	1	99.99329	0.999958	99.98495	99.99573	99.98379	99.99173	
relatively	1	99.99329	0.999955	99.98495	99.99573	99.98322	99.99172	
relationships	1	99.99544	0.999949	99.98495	99.99573	99.98457	99.99300	
rejects	1	99.99402	0.999964	99.98495	99.99573	99.98388	99.99154	
rejected	1	99.99329	0.999961	99.98495	99.99573	99.98051	99.99146	
reiter	1	99.99329	0.999979	99.98495	99.99573	99.97838	99.99131	
reiling	1	99.99329	0.999964	99.98495	99.99573	99.97828	99.99151	
reigns	1	99.99329	0.999967	99.98495	99.99573	99.98468	99.99114	
reign	1	99.99329	0.999970	99.98495	99.99573	99.98357	99.99199	
rehweiler	1	99.99402	0.999963	99.98495	99.99573	99.98393	99.99221	
regulation	1	99.99544	0.999965	99.98495	99.99573	99.98110	99.99234	
regulations	1	99.99329	0.999952	99.98495	99.99573	99.97788	99.99146	
regrets	1	99.99329	0.999965	99.98495	99.99573	99.98442	99.99081	
registration	1	99.99402	0.999949	99.98495	99.99573	99.98181	99.99252	
regime	1	99.99329	0.999967	99.98495	99.99573	99.97797	99.99141	
regeneration	1	99.99329	0.999949	99.98495	99.99573	99.98122	99.99160	
regained	1	99.99544	0.999971	99.98495	99.99573	99.97986	99.99233	
refused	1	99.99329	0.999964	99.98495	99.99573	99.97585	99.99116	
refuse	1	99.99544	0.999968	99.98495	99.99573	99.98385	99.99335	
refrigerators	1	99.99329	0.999946	99.98495	99.99573	99.98293	99.99179	
refrigerator	1	99.99329	0.999949	99.98495	99.99573	99.98438	99.99247	
reflector	1	99.99402	0.999958	99.98495	99.99573	99.98214	99.99144	
reflect	1	99.99402	0.999964	99.98495	99.99573	99.97521	99.99130	
references	1	99.99329	0.999955	99.98495	99.99573	99.98227	99.99148	
reference	1	99.99329	0.999958	99.98495	99.99573	99.98221	99.99249	
referenced	1	99.99329	0.999955	99.98495	99.99573	99.98440	99.99193	
referee	1	99.99751	0.999979	99.98495	99.99573	99.98495	99.99573	
reefs	1	99.99329	0.999970	99.98495	99.99573	99.98105	99.99194	
reduce	1	99.99329	0.999967	99.98495	99.99573	99.98253	99.99179	
recruiting	1	99.99329	0.999955	99.98495	99.99573	99.98402	99.99169	
redaktionsnetzwerk	1	99.99329	0.999931	99.98495	99.99573	99.97851	99.99160	
redeemed	1	99.99329	0.999961	99.98495	99.99573	99.98016	99.99114	
recruited	1	99.99329	0.999958	99.98495	99.99573	99.98388	99.99217	
recovered	1	99.99329	0.999958	99.98495	99.99573	99.98048	99.99186	
records	1	99.99329	0.999964	99.98495	99.99573	99.98165	99.99092	
reconstruction	1	99.99329	0.999943	99.98495	99.99573	99.98479	99.99117	
reconciliatory	1	99.99402	0.999943	99.98495	99.99573	99.98341	99.99247	
recommended	1	99.99329	0.999952	99.98495	99.99573	99.98468	99.99142	
recognizes	1	99.99329	0.999955	99.98495	99.99573	99.98201	99.99102	
recognized	1	99.99329	0.999955	99.98495	99.99573	99.97842	99.99104	
reckenfelder	1	99.99329	0.999949	99.98495	99.99573	99.98025	99.99167	
recipient	1	99.99329	0.999958	99.98495	99.99573	99.98383	99.99218	
recapture	1	99.99329	0.999958	99.98495	99.99573	99.98151	99.99154	
recalled	1	99.99329	0.999961	99.98495	99.99573	99.98468	99.99165	
reaped	1	99.99329	0.999967	99.98495	99.99573	99.98318	99.99146	
recall	1	99.99402	0.999967	99.98495	99.99573	99.98445	99.99163	
rear	1	99.99329	0.999973	99.98495	99.99573	99.98183	99.99160	
realization	1	99.99329	0.999952	99.98495	99.99573	99.98440	99.99184	
realise	1	99.99329	0.999964	99.98495	99.99573	99.98347	99.99096	
reacts	1	99.99751	0.999982	99.98495	99.99573	99.98495	99.99573	
reaction	1	99.99329	0.999961	99.98495	99.99573	99.98458	99.99118	
raw	1	99.99329	0.999976	99.98495	99.99573	99.97495	99.99146	
rattling	1	99.99329	0.999961	99.98495	99.99573	99.98011	99.99143	
ravaged	1	99.99329	0.999964	99.98495	99.99573	99.98236	99.99118	
rattle	1	99.99329	0.999967	99.98495	99.99573	99.98222	99.99170	
ratiopharm	1	99.99329	0.999955	99.98495	99.99573	99.98162	99.99168	
ratio	1	99.99329	0.999970	99.98495	99.99573	99.98297	99.99148	
rate	1	99.99402	0.999973	99.98495	99.99573	99.98455	99.99227	
rating	1	99.99329	0.999967	99.98495	99.99573	99.98014	99.99161	
rasmussen	1	99.99329	0.999958	99.98495	99.99573	99.97492	99.99167	
rashford	1	99.99329	0.999961	99.98495	99.99573	99.98083	99.99195	
rarity	1	99.99329	0.999967	99.98495	99.99573	99.98419	99.99145	
rapid	1	99.99751	0.999985	99.98495	99.99573	99.98495	99.99573	
rape	1	99.99329	0.999973	99.98495	99.99573	99.98343	99.99206	
ranks	1	99.99329	0.999970	99.98495	99.99573	99.98440	99.99177	
rank	1	99.99329	0.999973	99.98495	99.99573	99.98157	99.99167	
ransmann	1	99.99329	0.999961	99.98495	99.99573	99.97786	99.99155	
ranging	1	99.99329	0.999964	99.98495	99.99573	99.98043	99.99186	
range	1	99.99544	0.999980	99.98495	99.99573	99.98180	99.99254	
ramparts	1	99.99329	0.999961	99.98495	99.99573	99.98372	99.99191	
rampant	1	99.99329	0.999964	99.98495	99.99573	99.97960	99.99121	
rang	1	99.99329	0.999973	99.98495	99.99573	99.98130	99.99155	
ramp	1	99.99329	0.999973	99.98495	99.99573	99.98314	99.99107	
rammed	1	99.99329	0.999967	99.98495	99.99573	99.98118	99.99160	
ralf	1	99.99402	0.999973	99.98495	99.99573	99.98073	99.99176	
raises	1	99.99329	0.999972	99.98495	99.99573	99.98257	99.99100	
rain	1	99.99329	0.999973	99.98495	99.99573	99.98204	99.99196	
railroader	1	99.99329	0.999955	99.98495	99.99573	99.98263	99.99165	
railroad	1	99.99329	0.999966	99.98495	99.99573	99.97879	99.99138	
rail	1	99.99329	0.999973	99.98495	99.99573	99.97979	99.99151	
radika	1	99.99402	0.999967	99.98495	99.99573	99.97887	99.99230	
radical	1	99.99329	0.999964	99.98495	99.99573	99.98434	99.99192	
race	1	99.99329	0.999973	99.98495	99.99573	99.98348	99.99138	
quiz	1	99.99329	0.999973	99.98495	99.99573	99.97977	99.99110	
r	1	99.99329	0.999982	99.98495	99.99573	99.98465	99.99152	
quits	1	99.99329	0.999970	99.98495	99.99573	99.98380	99.99113	
quotas	1	99.99329	0.999967	99.98495	99.99573	99.97977	99.99147	
quietly	1	99.99329	0.999964	99.98495	99.99573	99.98005	99.99133	
quiche	1	99.99329	0.999967	99.98495	99.99573	99.98055	99.99158	
questioned	1	99.99329	0.999955	99.98495	99.99573	99.98407	99.99110	
quentin	1	99.99402	0.999964	99.98495	99.99573	99.98104	99.99175	
queen	1	99.99329	0.999970	99.98495	99.99573	99.97716	99.99105	
quartett	1	99.99329	0.999961	99.98495	99.99573	99.98158	99.99163	
quarrels	1	99.99402	0.999961	99.98495	99.99573	99.98425	99.99155	
quantity	1	99.99329	0.999961	99.98495	99.99573	99.98069	99.99112	
qualify	1	99.99329	0.999964	99.98495	99.99573	99.98440	99.99163	
pyeonchang	1	99.99544	0.999965	99.98495	99.99573	99.98296	99.99234	
quake	1	99.99402	0.999970	99.98495	99.99573	99.98446	99.99195	
putting	1	99.99329	0.999964	99.98495	99.99573	99.98307	99.99276	
putinzewa	1	99.99329	0.999963	99.98495	99.99573	99.97858	99.99172	
pushing	1	99.99329	0.999964	99.98495	99.99573	99.98115	99.99145	
pursuer	1	99.99329	0.999964	99.98495	99.99573	99.98436	99.99119	
pursuers	1	99.99544	0.999971	99.98495	99.99573	99.98489	99.99217	
purposes	1	99.99329	0.999961	99.98495	99.99573	99.98118	99.99148	
purely	1	99.99329	0.999967	99.98495	99.99573	99.98423	99.99239	
purchasing	1	99.99544	0.999958	99.98495	99.99573	99.98124	99.99307	
pumpkin	1	99.99329	0.999964	99.98495	99.99573	99.97485	99.99162	
pumpe	1	99.99329	0.999970	99.98495	99.99573	99.98250	99.99154	
pump	1	99.99329	0.999973	99.98495	99.99573	99.97940	99.99154	
pulling	1	99.99329	0.999964	99.98495	99.99573	99.98177	99.99152	
pulled	1	99.99329	0.999967	99.98495	99.99573	99.97993	99.99177	
puigdemont	1	99.99329	0.999955	99.98495	99.99573	99.97893	99.99173	
pudding	1	99.99329	0.999964	99.98495	99.99573	99.98203	99.99163	
publishing	1	99.99329	0.999955	99.98495	99.99573	99.98203	99.99167	
publication	1	99.99329	0.999952	99.98495	99.99573	99.98364	99.99160	
pubic	1	99.99329	0.999970	99.98495	99.99573	99.98248	99.99150	
pt	1	99.99329	0.999979	99.98495	99.99573	99.98409	99.99168	
pseudonym	1	99.99329	0.999958	99.98495	99.99573	99.98458	99.99101	
prowess	1	99.99329	0.999964	99.98495	99.99573	99.98076	99.99165	
prskavec	1	99.99329	0.999961	99.98495	99.99573	99.97819	99.99164	
provocative	1	99.99329	0.999952	99.98495	99.99573	99.98368	99.99099	
provocations	1	99.99329	0.999949	99.98495	99.99573	99.98244	99.99109	
provisions	1	99.99329	0.999955	99.98495	99.99573	99.97663	99.99100	
provisionally	1	99.99329	0.999946	99.98495	99.99573	99.98431	99.99247	
providers	1	99.99329	0.999958	99.98495	99.99573	99.98008	99.99168	
proves	1	99.99402	0.999967	99.98495	99.99573	99.97507	99.99106	
proverbial	1	99.99329	0.999955	99.98495	99.99573	99.97958	99.99153	
proudly	1	99.99329	0.999964	99.98495	99.99573	99.98474	99.99226	
protested	1	99.99329	0.999958	99.98495	99.99573	99.98357	99.99186	
protégés	1	99.99329	0.999966	99.98495	99.99573	99.98419	99.99157	
prostate	1	99.99402	0.999961	99.98495	99.99573	99.98120	99.99123	
prospects	1	99.99544	0.999968	99.98495	99.99573	99.98402	99.99347	
prosperous	1	99.99329	0.999956	99.98495	99.99573	99.98297	99.99202	
prosecutors	1	99.99402	0.999952	99.98495	99.99573	99.98447	99.99197	
prosecution	1	99.99402	0.999952	99.98495	99.99573	99.98371	99.99178	
propulsion	1	99.99544	0.999965	99.98495	99.99573	99.98303	99.99264	
proposed	1	99.99402	0.999961	99.98495	99.99573	99.97776	99.99064	
properly	1	99.99329	0.999961	99.98495	99.99573	99.98474	99.99035	
proof	1	99.99329	0.999970	99.98495	99.99573	99.98348	99.99162	
promotes	1	99.99402	0.999961	99.98495	99.99573	99.98425	99.99173	
promote	1	99.99329	0.999964	99.98495	99.99573	99.97946	99.99161	
prominent	1	99.99329	0.999958	99.98495	99.99573	99.98385	99.99164	
prohibited	1	99.99329	0.999960	99.98495	99.99573	99.98379	99.99165	
progress	1	99.99544	0.999971	99.98495	99.99573	99.98437	99.99330	
progresses	1	99.99402	0.999955	99.98495	99.99573	99.98448	99.99302	
progressed	1	99.99329	0.999955	99.98495	99.99573	99.98315	99.99137	
programs	1	99.99544	0.999971	99.98495	99.99573	99.98236	99.99298	
profile	1	99.99402	0.999969	99.98495	99.99573	99.97913	99.99129	
profits	1	99.99329	0.999964	99.98495	99.99573	99.98393	99.99163	
professionals	1	99.99329	0.999946	99.98495	99.99573	99.98249	99.99159	
prof.	1	99.99751	0.999985	99.98495	99.99573	99.98495	99.99573	
prodigy	1	99.99329	0.999964	99.98495	99.99573	99.98194	99.99175	
proclaimed	1	99.99329	0.999955	99.98495	99.99573	99.98430	99.99227	
producer	1	99.99329	0.999961	99.98495	99.99573	99.97649	99.99161	
processes	1	99.99329	0.999958	99.98495	99.99573	99.98255	99.99142	
proceeds	1	99.99544	0.999964	99.98495	99.99573	99.98481	99.99321	
probe	1	99.99329	0.999970	99.98495	99.99573	99.97971	99.99162	
pro	1	99.99329	0.999976	99.98495	99.99573	99.98374	99.99170	
prisoners	1	99.99329	0.999958	99.98495	99.99573	99.98385	99.99128	
priorities	1	99.99544	0.999965	99.98495	99.99573	99.98462	99.99264	
prior	1	99.99402	0.999970	99.98495	99.99573	99.98458	99.99226	
priest	1	99.99751	0.999982	99.98495	99.99573	99.98495	99.99573	
prince	1	99.99329	0.999967	99.98495	99.99573	99.98307	99.99169	
prestigious	1	99.99402	0.999952	99.98495	99.99573	99.98253	99.99170	
pretending	1	99.99329	0.999955	99.98495	99.99573	99.98361	99.99172	
pressed	1	99.99402	0.999964	99.98495	99.99573	99.97874	99.99220	
presidents	1	99.99329	0.999955	99.98495	99.99573	99.98353	99.99205	
preserved	1	99.99329	0.999958	99.98495	99.99573	99.98246	99.99097	
presents	1	99.99329	0.999961	99.98495	99.99573	99.98298	99.99132	
preserve	1	99.99329	0.999961	99.98495	99.99573	99.98241	99.99110	
presenting	1	99.99329	0.999955	99.98495	99.99573	99.98390	99.99174	
preseason	1	99.99329	0.999958	99.98495	99.99573	99.97936	99.99163	
preparatory	1	99.99329	0.999957	99.98495	99.99573	99.98316	99.99161	
presenter	1	99.99329	0.999958	99.98495	99.99573	99.97722	99.99172	
premiered	1	99.99329	0.999958	99.98495	99.99573	99.98442	99.99173	
prefers	1	99.99329	0.999964	99.98495	99.99573	99.98115	99.99231	
preference	1	99.99329	0.999955	99.98495	99.99573	99.98403	99.99157	
preferably	1	99.99329	0.999955	99.98495	99.99573	99.98284	99.99156	
prefer	1	99.99329	0.999967	99.98495	99.99573	99.98221	99.99102	
predicament	1	99.99544	0.999962	99.98495	99.99573	99.98448	99.99347	
precept	1	99.99402	0.999964	99.98495	99.99573	99.98231	99.99090	
precaution	1	99.99544	0.999965	99.98495	99.99573	99.98485	99.99247	
predecessor	1	99.99329	0.999952	99.98495	99.99573	99.98151	99.99171	
pragmatically	1	99.99329	0.999946	99.98495	99.99573	99.98288	99.99232	
powers	1	99.99329	0.999967	99.98495	99.99573	99.98148	99.99083	
practically	1	99.99329	0.999952	99.98495	99.99573	99.98283	99.99217	
powerless	1	99.99329	0.999963	99.98495	99.99573	99.98278	99.99163	
powerful	1	99.99329	0.999961	99.98495	99.99573	99.98160	99.99080	
pour	1	99.99329	0.999973	99.98495	99.99573	99.97927	99.99155	
potential	1	99.99329	0.999958	99.98495	99.99573	99.97896	99.99178	
posts	1	99.99329	0.999975	99.98495	99.99573	99.97987	99.99180	
posting	1	99.99329	0.999964	99.98495	99.99573	99.98012	99.99140	
posterity	1	99.99544	0.999968	99.98495	99.99573	99.98313	99.99305	
possession	1	99.99329	0.999955	99.98495	99.99573	99.98483	99.99128	
positives	1	99.99329	0.999958	99.98495	99.99573	99.98449	99.99171	
positively	1	99.99329	0.999955	99.98495	99.99573	99.98381	99.99159	
porto	1	99.99544	0.999980	99.98495	99.99573	99.98465	99.99268	
port	1	99.99329	0.999978	99.98495	99.99573	99.98019	99.99089	
porsche	1	99.99329	0.999964	99.98495	99.99573	99.98368	99.99258	
ponder	1	99.99329	0.999967	99.98495	99.99573	99.98328	99.99153	
poll	1	99.99329	0.999978	99.98495	99.99573	99.97691	99.99095	
pompous	1	99.99329	0.999964	99.98495	99.99573	99.98395	99.99172	
polling	1	99.99329	0.999964	99.98495	99.99573	99.98275	99.99144	
policía	1	99.99329	0.999964	99.98495	99.99573	99.97966	99.99131	
poked	1	99.99329	0.999970	99.98495	99.99573	99.97966	99.99107	
pointing	1	99.99329	0.999961	99.98495	99.99573	99.98230	99.99219	
podcast	1	99.99329	0.999964	99.98495	99.99573	99.98197	99.99105	
plus	1	99.99329	0.999973	99.98495	99.99573	99.97982	99.99140	
poetic	1	99.99329	0.999967	99.98495	99.99573	99.97776	99.99172	
plinth	1	99.99544	0.999976	99.98495	99.99573	99.98160	99.99305	
plentiful	1	99.99329	0.999958	99.98495	99.99573	99.98182	99.99125	
pleinfeld	1	99.99329	0.999958	99.98495	99.99573	99.98423	99.99174	
pledges	1	99.99329	0.999964	99.98495	99.99573	99.98371	99.99166	
pleaded	1	99.99329	0.999964	99.98495	99.99573	99.98252	99.99229	
pléa	1	99.99544	0.999978	99.98495	99.99573	99.97556	99.99258	
playoff	1	99.99329	0.999964	99.98495	99.99573	99.98176	99.99151	
playmaker	1	99.99402	0.999958	99.98495	99.99573	99.98188	99.99195	
platz	1	99.99544	0.999980	99.98495	99.99573	99.98166	99.99243	
plastering	1	99.99402	0.999955	99.98495	99.99573	99.97906	99.99198	
plants	1	99.99329	0.999967	99.98495	99.99573	99.98348	99.99238	
planted	1	99.99329	0.999964	99.98495	99.99573	99.98420	99.99154	
plant	1	99.99329	0.999970	99.98495	99.99573	99.98166	99.99168	
planners	1	99.99329	0.999961	99.98495	99.99573	99.98181	99.99104	
plaguing	1	99.99329	0.999961	99.98495	99.99573	99.97828	99.99180	
placing	1	99.99329	0.999964	99.98495	99.99573	99.98064	99.99129	
planes	1	99.99544	0.999977	99.98495	99.99573	99.98275	99.99262	
pkk	1	99.99329	0.999976	99.98495	99.99573	99.98278	99.99137	
pizzeria	1	99.99329	0.999966	99.98495	99.99573	99.98338	99.99139	
pirmin	1	99.99329	0.999967	99.98495	99.99573	99.97868	99.99185	
pipes	1	99.99329	0.999970	99.98495	99.99573	99.98210	99.99130	
pipe	1	99.99329	0.999973	99.98495	99.99573	99.98337	99.99202	
piotr	1	99.99329	0.999970	99.98495	99.99573	99.97985	99.98976	
pioneers	1	99.99329	0.999961	99.98495	99.99573	99.98371	99.99225	
pioneer	1	99.99329	0.999969	99.98495	99.99573	99.98031	99.99114	
pinzgau	1	99.99544	0.999967	99.98495	99.99573	99.98405	99.99397	
pinto	1	99.99329	0.999970	99.98495	99.99573	99.97663	99.99161	
pinpricks	1	99.99329	0.999958	99.98495	99.99573	99.98230	99.99190	
pinguins	1	99.99329	0.999966	99.98495	99.99573	99.97979	99.99192	
pin	1	99.99329	0.999976	99.98495	99.99573	99.97873	99.99175	
pilgrimage	1	99.99329	0.999955	99.98495	99.99573	99.98416	99.99177	
phrasenmäher	1	99.99329	0.999949	99.98495	99.99573	99.98243	99.99143	
pictures	1	99.99329	0.999961	99.98495	99.99573	99.98102	99.99087	
photoshoot	1	99.99329	0.999955	99.98495	99.99573	99.98289	99.99166	
photographer	1	99.99402	0.999949	99.98495	99.99573	99.97941	99.99125	
photographed	1	99.99329	0.999949	99.98495	99.99573	99.98464	99.99173	
philosophical	1	99.99329	0.999951	99.98495	99.99573	99.98260	99.99178	
philipp	1	99.99329	0.999964	99.98495	99.99573	99.98277	99.99185	
phenomenal	1	99.99402	0.999955	99.98495	99.99573	99.98458	99.99215	
phaeno	1	99.99329	0.999967	99.98495	99.99573	99.97916	99.99158	
pfründnerhause	1	99.99329	0.999948	99.98495	99.99573	99.98473	99.99131	
pfaff	1	99.99329	0.999970	99.98495	99.99573	99.98321	99.99170	
petr	1	99.99329	0.999978	99.98495	99.99573	99.97977	99.99129	
persuade	1	99.99329	0.999961	99.98495	99.99573	99.98154	99.99180	
pessimist	1	99.99329	0.999958	99.98495	99.99573	99.98357	99.99153	
permitting	1	99.99329	0.999955	99.98495	99.99573	99.98267	99.99239	
permitted	1	99.99329	0.999959	99.98495	99.99573	99.98386	99.99231	
permit	1	99.99402	0.999972	99.98495	99.99573	99.98195	99.99251	
permanently	1	99.99329	0.999952	99.98495	99.99573	99.97469	99.99132	
periods	1	99.99402	0.999964	99.98495	99.99573	99.98446	99.99200	
performers	1	99.99329	0.999955	99.98495	99.99573	99.98371	99.99143	
perez	1	99.99329	0.999970	99.98495	99.99573	99.97431	99.99143	
perfect	1	99.99329	0.999964	99.98495	99.99573	99.98303	99.99163	
pep	1	99.99329	0.999976	99.98495	99.99573	99.97705	99.99193	
pentecost	1	99.99329	0.999963	99.98495	99.99573	99.98295	99.99181	
pension	1	99.99544	0.999967	99.98495	99.99573	99.98488	99.99303	
peninsula	1	99.99329	0.999958	99.98495	99.99573	99.98270	99.99194	
penguins	1	99.99544	0.999964	99.98495	99.99573	99.98424	99.99381	
penned	1	99.99329	0.999972	99.98495	99.99573	99.98345	99.99197	
peaks	1	99.99329	0.999970	99.98495	99.99573	99.98235	99.99245	
peace	1	99.99329	0.999975	99.98495	99.99573	99.97733	99.99153	
pd	1	99.99329	0.999979	99.98495	99.99573	99.98125	99.99166	
paying	1	99.99329	0.999967	99.98495	99.99573	99.98303	99.99175	
pawel	1	99.99402	0.999970	99.98495	99.99573	99.97856	99.99126	
pavilion	1	99.99329	0.999961	99.98495	99.99573	99.97982	99.99169	
pave	1	99.99329	0.999973	99.98495	99.99573	99.98446	99.99257	
patronage	1	99.99329	0.999963	99.98495	99.99573	99.98297	99.99100	
pastoral	1	99.99329	0.999961	99.98495	99.99573	99.98196	99.99138	
pathways	1	99.99329	0.999961	99.98495	99.99573	99.98317	99.99223	
passphrases	1	99.99329	0.999952	99.98495	99.99573	99.98274	99.99185	
passing	1	99.99329	0.999969	99.98495	99.99573	99.98326	99.99260	
passes	1	99.99329	0.999967	99.98495	99.99573	99.98413	99.99134	
passerby	1	99.99329	0.999961	99.98495	99.99573	99.98278	99.99087	
passages	1	99.99329	0.999961	99.98495	99.99573	99.98129	99.99181	
passage	1	99.99329	0.999964	99.98495	99.99573	99.98385	99.99164	
pasengers	1	99.99402	0.999958	99.98495	99.99573	99.98399	99.99232	
participated	1	99.99329	0.999949	99.98495	99.99573	99.98443	99.99247	
participant	1	99.99329	0.999952	99.98495	99.99573	99.98229	99.99134	
partying	1	99.99544	0.999971	99.98495	99.99573	99.98475	99.99321	
parisian	1	99.99544	0.999964	99.98495	99.99573	99.98396	99.99384	
parent	1	99.99329	0.999967	99.98495	99.99573	99.98085	99.99126	
paradox	1	99.99329	0.999964	99.98495	99.99573	99.98241	99.99135	
parade	1	99.99329	0.999967	99.98495	99.99573	99.98058	99.99129	
paperwork	1	99.99329	0.999958	99.98495	99.99573	99.98475	99.99221	
pants	1	99.99329	0.999970	99.98495	99.99573	99.98183	99.99193	
panmunjom	1	99.99329	0.999958	99.98495	99.99573	99.98175	99.99101	
panic	1	99.99329	0.999970	99.98495	99.99573	99.98378	99.99186	
pancakes	1	99.99544	0.999971	99.98495	99.99573	99.98396	99.99264	
pan	1	99.99402	0.999977	99.98495	99.99573	99.98458	99.99147	
pairs	1	99.99329	0.999970	99.98495	99.99573	99.98199	99.99147	
painkillers	1	99.99544	0.999962	99.98495	99.99573	99.98412	99.99264	
