Type	Frequency	bleu	macrof	microf	CHRF1	CHRF3
catastrophic	2	99.98615	99.96990	99.99146	0.999861	0.999833	
casualties	2	99.98831	99.96990	99.99146	0.999884	0.999864	
caught	2	99.98615	99.96990	99.99146	0.999897	0.999897	
cd	2	99.98831	99.96990	99.99146	0.999932	0.999951	
carlo	2	99.98615	99.96990	99.99146	0.999903	0.999908	
castro	2	99.98615	99.96990	99.99146	0.999897	0.999897	
cardi	2	99.99038	99.96990	99.99146	0.999919	0.999924	
cap	2	99.98689	99.96990	99.99146	0.999915	0.999930	
cameroon	2	99.98831	99.96990	99.99146	0.999896	0.999886	
cans	2	99.98615	99.96990	99.99146	0.999909	0.999919	
canoe	2	99.98615	99.96990	99.99146	0.999903	0.999908	
calmly	2	99.98689	99.96990	99.99146	0.999906	0.999906	
bw	2	99.98831	99.96990	99.99146	0.999922	0.999941	
burglars	2	99.98831	99.96990	99.99146	0.999889	0.999879	
cacau	2	99.98615	99.96990	99.99146	0.999903	0.999908	
buried	2	99.98615	99.96990	99.99146	0.999897	0.999897	
bundeswehr	2	99.98615	99.96990	99.99146	0.999873	0.999854	
bundle	2	99.98615	99.96990	99.99146	0.999897	0.999897	
bumper	2	99.98831	99.96990	99.99146	0.999904	0.999904	
build	2	99.98831	99.96990	99.99146	0.999910	0.999914	
buffet	2	99.98615	99.96990	99.99146	0.999897	0.999897	
bruchsal	2	99.99180	99.96990	99.99146	0.999911	0.999901	
brose	2	99.98615	99.96990	99.99146	0.999903	0.999908	
brighton	2	99.98615	99.96990	99.99146	0.999885	0.999876	
bringing	2	99.98615	99.96990	99.99146	0.999885	0.999876	
breitenreiter	2	99.98615	99.96990	99.99146	0.999855	0.999822	
brigade	2	99.98615	99.96990	99.99146	0.999891	0.999887	
briefly	2	99.98615	99.96990	99.99146	0.999893	0.999889	
boundaries	2	99.98615	99.96990	99.99146	0.999873	0.999854	
boy	2	99.98831	99.96990	99.99146	0.999928	0.999942	
branch	2	99.98615	99.96990	99.99146	0.999897	0.999897	
borough	2	99.98615	99.96990	99.99146	0.999891	0.999887	
borna	2	99.99038	99.96990	99.99146	0.999919	0.999924	
books	2	99.98615	99.96990	99.99146	0.999903	0.999908	
bones	2	99.98615	99.96990	99.99146	0.999903	0.999908	
boat	2	99.98689	99.96990	99.99146	0.999909	0.999919	
black	2	99.98615	99.96990	99.99146	0.999903	0.999908	
block	2	99.98615	99.96990	99.99146	0.999903	0.999908	
bmw	2	99.98689	99.96990	99.99146	0.999915	0.999930	
blame	2	99.98615	99.96990	99.99146	0.999903	0.999908	
birmingham	2	99.99253	99.96990	99.99146	0.999899	0.999880	
birth	2	99.98831	99.96990	99.99146	0.999914	0.999918	
biodiversity	2	99.98615	99.96990	99.99146	0.999863	0.999835	
biker	2	99.98831	99.96990	99.99146	0.999907	0.999911	
beverage	2	99.98831	99.96990	99.99146	0.999896	0.999886	
biathlete	2	99.99461	99.96990	99.99146	0.999910	0.999895	
bike	2	99.98615	99.96990	99.99146	0.999909	0.999919	
binge	2	99.98615	99.96990	99.99146	0.999903	0.999908	
bentley	2	99.98615	99.96990	99.99146	0.999893	0.999889	
benefit	2	99.98831	99.96990	99.99146	0.999902	0.999897	
beijing	2	99.99038	99.96990	99.99146	0.999907	0.999902	
behalf	2	99.98615	99.96990	99.99146	0.999897	0.999897	
belong	2	99.98831	99.96990	99.99146	0.999899	0.999899	
below	2	99.98615	99.96990	99.99146	0.999903	0.999908	
begun	2	99.98689	99.96990	99.99146	0.999903	0.999908	
begin	2	99.98831	99.96990	99.99146	0.999914	0.999918	
becoming	2	99.98831	99.96990	99.99146	0.999885	0.999876	
beautiful	2	99.98615	99.96990	99.99146	0.999879	0.999865	
beaten	2	99.98615	99.96990	99.99146	0.999897	0.999897	
battle	2	99.98615	99.96990	99.99146	0.999897	0.999897	
bayer	2	99.98615	99.96990	99.99146	0.999905	0.999910	
baskets	2	99.98689	99.96990	99.99146	0.999891	0.999887	
based	2	99.98615	99.96990	99.99146	0.999903	0.999908	
bar	2	99.98615	99.96990	99.99146	0.999915	0.999930	
basis	2	99.98615	99.96990	99.99146	0.999903	0.999908	
barometer	2	99.98689	99.96990	99.99146	0.999879	0.999865	
balls	2	99.98615	99.96990	99.99146	0.999903	0.999908	
baesweiler	2	99.99461	99.96990	99.99146	0.999904	0.999885	
b	2	99.98831	99.96990	99.99146	0.999928	0.999952	
aygün	2	99.98615	99.96990	99.99146	0.999905	0.999910	
axel	2	99.98689	99.96990	99.99146	0.999911	0.999921	
awaiting	2	99.98762	99.96990	99.99146	0.999885	0.999876	
aut	2	99.98615	99.96990	99.99146	0.999915	0.999930	
author	2	99.98615	99.96990	99.99146	0.999897	0.999897	
await	2	99.98615	99.96990	99.99146	0.999903	0.999908	
augsburg	2	99.98904	99.96990	99.99146	0.999889	0.999879	
attractive	2	99.98831	99.96990	99.99146	0.999884	0.999864	
attracted	2	99.98615	99.96990	99.99146	0.999879	0.999865	
attendance	2	99.98831	99.96990	99.99146	0.999884	0.999864	
attempts	2	99.99111	99.96990	99.99146	0.999901	0.999891	
asserted	2	99.98831	99.96990	99.99146	0.999892	0.999882	
asked	2	99.98831	99.96990	99.99146	0.999905	0.999909	
asteroid	2	99.99038	99.96990	99.99146	0.999901	0.999891	
athlete	2	99.98615	99.96990	99.99146	0.999891	0.999887	
arena	2	99.98615	99.96990	99.99146	0.999903	0.999908	
arsenal	2	99.99038	99.96990	99.99146	0.999907	0.999902	
arrests	2	99.99253	99.96990	99.99146	0.999917	0.999912	
archives	2	99.98615	99.96990	99.99146	0.999885	0.999876	
arnautovic	2	99.98615	99.96990	99.99146	0.999873	0.999854	
april	2	99.99046	99.96990	99.99146	0.999903	0.999908	
approved	2	99.98615	99.96990	99.99146	0.999885	0.999876	
approval	2	99.98615	99.96990	99.99146	0.999885	0.999876	
appointed	2	99.98615	99.96990	99.99146	0.999879	0.999865	
approaching	2	99.98615	99.96990	99.99146	0.999867	0.999843	
applications	2	99.98615	99.96990	99.99146	0.999861	0.999833	
application	2	99.98689	99.96990	99.99146	0.999867	0.999843	
appearing	2	99.98615	99.96990	99.99146	0.999879	0.999865	
appealed	2	99.98831	99.96990	99.99146	0.999886	0.999877	
appearances	2	99.98615	99.96990	99.99146	0.999867	0.999843	
app	2	99.98831	99.96990	99.99146	0.999919	0.999933	
ante	2	99.98831	99.96990	99.99146	0.999909	0.999919	
apartment	2	99.98615	99.96990	99.99146	0.999879	0.999865	
annacker	2	99.98615	99.96990	99.99146	0.999885	0.999876	
answer	2	99.98615	99.96990	99.99146	0.999897	0.999897	
ankersen	2	99.99046	99.96990	99.99146	0.999906	0.999896	
animals	2	99.98615	99.96990	99.99146	0.999891	0.999887	
angelo	2	99.99038	99.96990	99.99146	0.999913	0.999913	
anastasios	2	99.99038	99.96990	99.99146	0.999889	0.999869	
amtmannei	2	99.98831	99.96990	99.99146	0.999890	0.999875	
amsterdam	2	99.98831	99.96990	99.99146	0.999890	0.999875	
amount	2	99.98615	99.96990	99.99146	0.999897	0.999897	
amidst	2	99.98615	99.96990	99.99146	0.999897	0.999897	
ancelotti	2	99.98615	99.96990	99.99146	0.999879	0.999865	
ambitious	2	99.98904	99.96990	99.99146	0.999883	0.999868	
amazing	2	99.98762	99.96990	99.99146	0.999893	0.999889	
amazed	2	99.98615	99.96990	99.99146	0.999899	0.999899	
alluding	2	99.98615	99.96990	99.99146	0.999885	0.999876	
allotment	2	99.98615	99.96990	99.99146	0.999879	0.999865	
allensbach	2	99.98615	99.96990	99.99146	0.999873	0.999854	
allbau	2	99.98831	99.96990	99.99146	0.999897	0.999897	
alleged	2	99.98615	99.96990	99.99146	0.999891	0.999887	
airports	2	99.98689	99.96990	99.99146	0.999885	0.999876	
allan	2	99.98615	99.96990	99.99146	0.999903	0.999908	
aladin	2	99.98762	99.96990	99.99146	0.999897	0.999897	
albion	2	99.98831	99.96990	99.99146	0.999908	0.999908	
alba	2	99.99111	99.96990	99.99146	0.999925	0.999934	
agüero	2	99.98615	99.96990	99.99146	0.999897	0.999897	
alessandro	2	99.99253	99.96990	99.99146	0.999889	0.999869	
ag	2	99.98615	99.96990	99.99146	0.999922	0.999941	
african	2	99.98689	99.96990	99.99146	0.999891	0.999887	
afraid	2	99.98615	99.96990	99.99146	0.999897	0.999897	
affair	2	99.98615	99.96990	99.99146	0.999897	0.999897	
afp	2	99.99046	99.96990	99.99146	0.999936	0.999950	
adults	2	99.98615	99.96990	99.99146	0.999897	0.999897	
administrator	2	99.98615	99.96990	99.99146	0.999855	0.999822	
adds	2	99.98615	99.96990	99.99146	0.999909	0.999919	
advisory	2	99.98762	99.96990	99.99146	0.999887	0.999878	
adjacent	2	99.98689	99.96990	99.99146	0.999885	0.999876	
aerial	2	99.98831	99.96990	99.99146	0.999897	0.999897	
acts	2	99.98831	99.96990	99.99146	0.999909	0.999919	
additionally	2	99.99038	99.96990	99.99146	0.999879	0.999850	
actress	2	99.98615	99.96990	99.99146	0.999891	0.999887	
actors	2	99.98831	99.96990	99.99146	0.999899	0.999899	
active	2	99.99038	99.96990	99.99146	0.999913	0.999913	
actively	2	99.98615	99.96990	99.99146	0.999887	0.999878	
accepted	2	99.98831	99.96990	99.99146	0.999892	0.999882	
accommodate	2	99.98689	99.96990	99.99146	0.999867	0.999843	
accidentally	2	99.98615	99.96990	99.99146	0.999863	0.999835	
achieve	2	99.98689	99.96990	99.99146	0.999891	0.999887	
act	2	99.98831	99.96990	99.99146	0.999926	0.999940	
absolute	2	99.98615	99.96990	99.99146	0.999885	0.999876	
91.0	2	99.98615	99.96990	99.99146	0.999909	0.999919	
a1	2	99.98615	99.96990	99.99146	0.999922	0.999941	
88.0	2	99.98615	99.96990	99.99146	0.999909	0.999919	
87th	2	99.98615	99.96990	99.99146	0.999909	0.999919	
83	2	99.98615	99.96990	99.99146	0.999922	0.999941	
79	2	99.98689	99.96990	99.99146	0.999928	0.999947	
81st	2	99.98615	99.96990	99.99146	0.999909	0.999919	
82	2	99.98615	99.96990	99.99146	0.999922	0.999941	
69,000	2	99.98615	99.96990	99.99146	0.999897	0.999897	
74	2	99.98615	99.96990	99.99146	0.999922	0.999941	
62	2	99.98831	99.96990	99.99146	0.999925	0.999944	
6000	2	99.98615	99.96990	99.99146	0.999909	0.999919	
66th	2	99.98615	99.96990	99.99146	0.999909	0.999919	
58	2	99.98615	99.96990	99.99146	0.999925	0.999944	
45th	2	99.98615	99.96990	99.99146	0.999909	0.999919	
32	2	99.98831	99.96990	99.99146	0.999932	0.999951	
38th	2	99.98615	99.96990	99.99146	0.999909	0.999919	
420	2	99.98689	99.96990	99.99146	0.999915	0.999930	
237.3	2	99.98689	99.96990	99.99146	0.999910	0.999914	
236.3	2	99.98615	99.96990	99.99146	0.999903	0.999908	
237.7	2	99.98615	99.96990	99.99146	0.999903	0.999908	
25th	2	99.98615	99.96990	99.99146	0.999909	0.999919	
28	2	99.98831	99.96990	99.99146	0.999932	0.999951	
236.2	2	99.98615	99.96990	99.99146	0.999903	0.999908	
2021	2	99.99253	99.96990	99.99146	0.999935	0.999945	
2003	2	99.98615	99.96990	99.99146	0.999909	0.999919	
2020	2	99.98831	99.96990	99.99146	0.999920	0.999929	
2001	2	99.98615	99.96990	99.99146	0.999909	0.999919	
1989	2	99.98831	99.96990	99.99146	0.999920	0.999929	
1st	2	99.98615	99.96990	99.99146	0.999915	0.999930	
1986	2	99.99046	99.96990	99.99146	0.999923	0.999932	
1970s	2	99.98615	99.96990	99.99146	0.999903	0.999908	
1899	2	99.98615	99.96990	99.99146	0.999909	0.999919	
1968	2	99.99038	99.96990	99.99146	0.999925	0.999934	
1893	2	99.98615	99.96990	99.99146	0.999909	0.999919	
1.8	2	99.98831	99.96990	99.99146	0.999915	0.999930	
17th	2	99.98689	99.96990	99.99146	0.999909	0.999919	
1,200	2	99.98615	99.96990	99.99146	0.999903	0.999908	
000	2	99.98689	99.96990	99.99146	0.999915	0.999930	
112	2	99.98615	99.96990	99.99146	0.999915	0.999930	
+	2	99.98615	99.96990	99.99146	0.999928	0.999952	
zyla	1	99.99308	99.96990	99.99360	0.999957	0.999961	
[	2	99.98615	99.96990	99.99146	0.999928	0.999952	
]	2	99.98615	99.96990	99.99146	0.999928	0.999952	
zwickau	1	99.99308	99.96990	99.99360	0.999947	0.999944	
zwarties	1	99.99523	99.96990	99.99360	0.999954	0.999949	
zurich	1	99.99308	99.96990	99.99360	0.999951	0.999951	
zur	1	99.99308	99.96990	99.99360	0.999959	0.999966	
zug	1	99.99523	99.96990	99.99360	0.999969	0.999976	
zoo	1	99.99523	99.96990	99.99360	0.999969	0.999976	
zirngast	1	99.99308	99.96990	99.99360	0.999944	0.999939	
ziegenhain	1	99.99308	99.96990	99.99360	0.999938	0.999928	
zibello	1	99.99308	99.96990	99.99360	0.999947	0.999944	
zff	1	99.99308	99.96990	99.99360	0.999959	0.999966	
yvelines	1	99.99308	99.96990	99.99360	0.999944	0.999939	
zakaria	1	99.99308	99.96990	99.99360	0.999948	0.999945	
zamg	1	99.99308	99.96990	99.99360	0.999956	0.999961	
z	1	99.99308	99.96990	99.99360	0.999970	0.999982	
yücel	1	99.99308	99.96990	99.99360	0.999953	0.999955	
youtube	1	99.99381	99.96990	99.99360	0.999947	0.999944	
youngest	1	99.99523	99.96990	99.99360	0.999947	0.999942	
yong	1	99.99308	99.96990	99.99360	0.999956	0.999961	
yevhen	1	99.99308	99.96990	99.99360	0.999950	0.999950	
yevgeny	1	99.99308	99.96990	99.99360	0.999949	0.999946	
yearning	1	99.99308	99.96990	99.99360	0.999944	0.999939	
yeah	1	99.99730	99.96990	99.99360	0.999971	0.999976	
yard	1	99.99308	99.96990	99.99360	0.999956	0.999961	
yaars	1	99.99523	99.96990	99.99360	0.999963	0.999965	
xherdan	1	99.99308	99.96990	99.99360	0.999952	0.999949	
xhaka	1	99.99308	99.96990	99.99360	0.999958	0.999960	
württemberg	1	99.99308	99.96990	99.99360	0.999934	0.999922	
würselen	1	99.99730	99.96990	99.99360	0.999958	0.999953	
wunderschön	1	99.99308	99.96990	99.99360	0.999934	0.999922	
writes	1	99.99381	99.96990	99.99360	0.999949	0.999949	
writer	1	99.99308	99.96990	99.99360	0.999949	0.999949	
wrecking	1	99.99308	99.96990	99.99360	0.999943	0.999938	
wrecked	1	99.99308	99.96990	99.99360	0.999946	0.999943	
wrapped	1	99.99308	99.96990	99.99360	0.999946	0.999943	
wounds	1	99.99308	99.96990	99.99360	0.999949	0.999949	
wreath	1	99.99308	99.96990	99.99360	0.999949	0.999949	
worsended	1	99.99308	99.96990	99.99360	0.999940	0.999933	
wound	1	99.99523	99.96990	99.99360	0.999962	0.999964	
worth	1	99.99381	99.96990	99.99360	0.999952	0.999954	
worldwide	1	99.99308	99.96990	99.99360	0.999940	0.999933	
workshops	1	99.99308	99.96990	99.99360	0.999940	0.999933	
wood	1	99.99308	99.96990	99.99360	0.999955	0.999960	
worded	1	99.99381	99.96990	99.99360	0.999952	0.999952	
wooded	1	99.99308	99.96990	99.99360	0.999949	0.999949	
wonderful	1	99.99308	99.96990	99.99360	0.999940	0.999933	
wolves	1	99.99523	99.96990	99.99360	0.999952	0.999952	
woods	1	99.99523	99.96990	99.99360	0.999962	0.999964	
wolbecker	1	99.99308	99.96990	99.99360	0.999940	0.999933	
wolverhampton	1	99.99308	99.96990	99.99360	0.999928	0.999911	
wolfram	1	99.99381	99.96990	99.99360	0.999946	0.999943	
wn	1	99.99523	99.96990	99.99360	0.999971	0.999981	
wltp	1	99.99308	99.96990	99.99360	0.999955	0.999960	
witnesses	1	99.99308	99.96990	99.99360	0.999940	0.999933	
witnessed	1	99.99308	99.96990	99.99360	0.999940	0.999933	
withdrawals	1	99.99381	99.96990	99.99360	0.999934	0.999922	
wished	1	99.99308	99.96990	99.99360	0.999949	0.999949	
winterhoff	1	99.99381	99.96990	99.99360	0.999937	0.999927	
wisely	1	99.99308	99.96990	99.99360	0.999950	0.999950	
winking	1	99.99308	99.96990	99.99360	0.999946	0.999943	
wintry	1	99.99523	99.96990	99.99360	0.999960	0.999960	
winners	1	99.99308	99.96990	99.99360	0.999946	0.999943	
wink	1	99.99308	99.96990	99.99360	0.999955	0.999960	
window	1	99.99308	99.96990	99.99360	0.999949	0.999949	
winged	1	99.99308	99.96990	99.99360	0.999949	0.999949	
windbreaking	1	99.99308	99.96990	99.99360	0.999931	0.999916	
wilhelm	1	99.99308	99.96990	99.99360	0.999946	0.999943	
wimbledon	1	99.99308	99.96990	99.99360	0.999940	0.999933	
wiesenbronn	1	99.99308	99.96990	99.99360	0.999934	0.999922	
wimmer	1	99.99308	99.96990	99.99360	0.999949	0.999949	
wies	1	99.99523	99.96990	99.99360	0.999955	0.999960	
widespread	1	99.99523	99.96990	99.99360	0.999940	0.999930	
whoever	1	99.99730	99.96990	99.99360	0.999961	0.999959	
wide	1	99.99308	99.96990	99.99360	0.999955	0.999960	
wie	1	99.99308	99.96990	99.99360	0.999958	0.999965	
wider	1	99.99730	99.96990	99.99360	0.999967	0.999969	
whites	1	99.99308	99.96990	99.99360	0.999949	0.999949	
whitaker	1	99.99308	99.96990	99.99360	0.999943	0.999938	
whereabouts	1	99.99523	99.96990	99.99360	0.999937	0.999925	
whereas	1	99.99308	99.96990	99.99360	0.999946	0.999943	
wheels	1	99.99308	99.96990	99.99360	0.999949	0.999949	
wheelchair	1	99.99308	99.96990	99.99360	0.999937	0.999927	
whatever	1	99.99308	99.96990	99.99360	0.999943	0.999938	
wheeling	1	99.99308	99.96990	99.99360	0.999943	0.999938	
weydandt	1	99.99308	99.96990	99.99360	0.999944	0.999939	
wheel	1	99.99308	99.96990	99.99360	0.999952	0.999954	
wettbergen	1	99.99308	99.96990	99.99360	0.999937	0.999927	
westphalia	1	99.99308	99.96990	99.99360	0.999937	0.999927	
westphalian	1	99.99308	99.96990	99.99360	0.999934	0.999922	
westfälische	1	99.99523	99.96990	99.99360	0.999931	0.999916	
westfalen	1	99.99308	99.96990	99.99360	0.999940	0.999933	
westergerling	1	99.99308	99.96990	99.99360	0.999928	0.999911	
westdeutsche	1	99.99308	99.96990	99.99360	0.999931	0.999916	
weiß	1	99.99381	99.96990	99.99360	0.999956	0.999961	
weßling	1	99.99308	99.96990	99.99360	0.999946	0.999943	
welcome	1	99.99381	99.96990	99.99360	0.999946	0.999943	
werner	1	99.99308	99.96990	99.99360	0.999949	0.999949	
weiss	1	99.99381	99.96990	99.99360	0.999952	0.999954	
weighed	1	99.99308	99.96990	99.99360	0.999946	0.999943	
weigh	1	99.99381	99.96990	99.99360	0.999952	0.999954	
weekends	1	99.99308	99.96990	99.99360	0.999943	0.999938	
wedershoven	1	99.99308	99.96990	99.99360	0.999934	0.999922	
wedding	1	99.99523	99.96990	99.99360	0.999956	0.999954	
wecker	1	99.99308	99.96990	99.99360	0.999949	0.999949	
wearing	1	99.99308	99.96990	99.99360	0.999946	0.999943	
weber	1	99.99381	99.96990	99.99360	0.999952	0.999954	
weapons	1	99.99381	99.96990	99.99360	0.999946	0.999943	
weaknesses	1	99.99523	99.96990	99.99360	0.999947	0.999937	
waz	1	99.99523	99.96990	99.99360	0.999967	0.999974	
ways	1	99.99308	99.96990	99.99360	0.999956	0.999961	
waves	1	99.99308	99.96990	99.99360	0.999952	0.999954	
wave	1	99.99308	99.96990	99.99360	0.999955	0.999960	
watching	1	99.99308	99.96990	99.99360	0.999943	0.999938	
wattenscheid	1	99.99730	99.96990	99.99360	0.999946	0.999932	
washout	1	99.99308	99.96990	99.99360	0.999946	0.999943	
washington	1	99.99523	99.96990	99.99360	0.999947	0.999937	
warning	1	99.99381	99.96990	99.99360	0.999946	0.999943	
waschneck	1	99.99523	99.96990	99.99360	0.999940	0.999933	
wall	1	99.99308	99.96990	99.99360	0.999955	0.999960	
warehousing	1	99.99308	99.96990	99.99360	0.999934	0.999922	
warned	1	99.99308	99.96990	99.99360	0.999949	0.999949	
wanders	1	99.99308	99.96990	99.99360	0.999946	0.999943	
walkers	1	99.99308	99.96990	99.99360	0.999946	0.999943	
walking	1	99.99308	99.96990	99.99360	0.999946	0.999943	
wald	1	99.99308	99.96990	99.99360	0.999955	0.999960	
währinger	1	99.99308	99.96990	99.99360	0.999940	0.999933	
wahn	1	99.99308	99.96990	99.99360	0.999955	0.999960	
wagons	1	99.99308	99.96990	99.99360	0.999949	0.999949	
wages	1	99.99523	99.96990	99.99360	0.999962	0.999964	
wacken	1	99.99308	99.96990	99.99360	0.999949	0.999949	
vorpommern	1	99.99308	99.96990	99.99360	0.999937	0.999927	
vtdi	1	99.99381	99.96990	99.99360	0.999955	0.999960	
voting	1	99.99308	99.96990	99.99360	0.999949	0.999949	
vorarlberg	1	99.99308	99.96990	99.99360	0.999937	0.999927	
voluntary	1	99.99308	99.96990	99.99360	0.999941	0.999933	
volume	1	99.99308	99.96990	99.99360	0.999949	0.999949	
volumes	1	99.99308	99.96990	99.99360	0.999946	0.999943	
voltage	1	99.99308	99.96990	99.99360	0.999946	0.999943	
völker	1	99.99308	99.96990	99.99360	0.999949	0.999949	
voices	1	99.99381	99.96990	99.99360	0.999949	0.999949	
vollrath	1	99.99308	99.96990	99.99360	0.999943	0.999938	
volksblatt	1	99.99308	99.96990	99.99360	0.999937	0.999927	
vocal	1	99.99381	99.96990	99.99360	0.999952	0.999954	
visiting	1	99.99308	99.96990	99.99360	0.999943	0.999938	
visit	1	99.99308	99.96990	99.99360	0.999952	0.999954	
vocally	1	99.99523	99.96990	99.99360	0.999957	0.999954	
virus	1	99.99381	99.96990	99.99360	0.999952	0.999954	
visible	1	99.99308	99.96990	99.99360	0.999946	0.999943	
virtually	1	99.99381	99.96990	99.99360	0.999941	0.999933	
visibly	1	99.99308	99.96990	99.99360	0.999947	0.999944	
virginia	1	99.99308	99.96990	99.99360	0.999943	0.999938	
violins	1	99.99523	99.96990	99.99360	0.999956	0.999954	
violin	1	99.99308	99.96990	99.99360	0.999949	0.999949	
violation	1	99.99308	99.96990	99.99360	0.999940	0.999933	
violations	1	99.99308	99.96990	99.99360	0.999937	0.999927	
vindicated	1	99.99308	99.96990	99.99360	0.999937	0.999927	
views	1	99.99308	99.96990	99.99360	0.999952	0.999954	
viggo	1	99.99308	99.96990	99.99360	0.999952	0.999954	
villages	1	99.99523	99.96990	99.99360	0.999953	0.999948	
viewer	1	99.99308	99.96990	99.99360	0.999949	0.999949	
vienna	1	99.99730	99.96990	99.99360	0.999964	0.999964	
vielmeyer	1	99.99308	99.96990	99.99360	0.999941	0.999933	
victoriously	1	99.99308	99.96990	99.99360	0.999932	0.999917	
victorious	1	99.99308	99.96990	99.99360	0.999937	0.999927	
vicinity	1	99.99308	99.96990	99.99360	0.999944	0.999939	
vessel	1	99.99523	99.96990	99.99360	0.999959	0.999959	
versatile	1	99.99308	99.96990	99.99360	0.999940	0.999933	
vi	1	99.99308	99.96990	99.99360	0.999961	0.999970	
vernissage	1	99.99308	99.96990	99.99360	0.999937	0.999927	
verena	1	99.99308	99.96990	99.99360	0.999949	0.999949	
verbal	1	99.99308	99.96990	99.99360	0.999949	0.999949	
vennemeyer	1	99.99308	99.96990	99.99360	0.999938	0.999928	
venice	1	99.99308	99.96990	99.99360	0.999949	0.999949	
vera	1	99.99730	99.96990	99.99360	0.999970	0.999975	
van	1	99.99308	99.96990	99.99360	0.999958	0.999965	
vehicles	1	99.99308	99.96990	99.99360	0.999943	0.999938	
veneer	1	99.99381	99.96990	99.99360	0.999949	0.999949	
variety	1	99.99308	99.96990	99.99360	0.999947	0.999944	
valleys	1	99.99308	99.96990	99.99360	0.999947	0.999944	
vaccination	1	99.99523	99.96990	99.99360	0.999944	0.999932	
vaitl	1	99.99523	99.96990	99.99360	0.999962	0.999964	
vacation	1	99.99308	99.96990	99.99360	0.999943	0.999938	
vacate	1	99.99308	99.96990	99.99360	0.999949	0.999949	
uses	1	99.99308	99.96990	99.99360	0.999955	0.999960	
useful	1	99.99730	99.96990	99.99360	0.999964	0.999964	
useless	1	99.99381	99.96990	99.99360	0.999946	0.999943	
urteil	1	99.99308	99.96990	99.99360	0.999949	0.999949	
urgent	1	99.99730	99.96990	99.99360	0.999964	0.999964	
urges	1	99.99523	99.96990	99.99360	0.999952	0.999954	
urban	1	99.99308	99.96990	99.99360	0.999952	0.999954	
urge	1	99.99523	99.96990	99.99360	0.999965	0.999970	
uploaded	1	99.99308	99.96990	99.99360	0.999943	0.999938	
upped	1	99.99308	99.96990	99.99360	0.999952	0.999954	
upholds	1	99.99308	99.96990	99.99360	0.999946	0.999943	
uphill	1	99.99308	99.96990	99.99360	0.999949	0.999949	
upheld	1	99.99308	99.96990	99.99360	0.999949	0.999949	
upgrading	1	99.99308	99.96990	99.99360	0.999940	0.999933	
upcoming	1	99.99308	99.96990	99.99360	0.999943	0.999938	
updates	1	99.99308	99.96990	99.99360	0.999946	0.999943	
unusual	1	99.99308	99.96990	99.99360	0.999946	0.999943	
unsettle	1	99.99308	99.96990	99.99360	0.999943	0.999938	
unrest	1	99.99308	99.96990	99.99360	0.999949	0.999949	
unparalleled	1	99.99308	99.96990	99.99360	0.999931	0.999916	
unofficial	1	99.99308	99.96990	99.99360	0.999937	0.999927	
unpresidential	1	99.99523	99.96990	99.99360	0.999935	0.999916	
unnecessarily	1	99.99308	99.96990	99.99360	0.999929	0.999912	
unmistakable	1	99.99308	99.96990	99.99360	0.999931	0.999916	
unless	1	99.99308	99.96990	99.99360	0.999949	0.999949	
unleashed	1	99.99308	99.96990	99.99360	0.999940	0.999933	
unionist	1	99.99381	99.96990	99.99360	0.999943	0.999938	
unknowns	1	99.99308	99.96990	99.99360	0.999943	0.999938	
unionists	1	99.99308	99.96990	99.99360	0.999940	0.999933	
unity	1	99.99730	99.96990	99.99360	0.999968	0.999970	
ungrudingly	1	99.99308	99.96990	99.99360	0.999935	0.999923	
unintentionally	1	99.99523	99.96990	99.99360	0.999933	0.999911	
unions	1	99.99308	99.96990	99.99360	0.999949	0.999949	
unfortunate	1	99.99308	99.96990	99.99360	0.999934	0.999922	
unfair	1	99.99308	99.96990	99.99360	0.999949	0.999949	
undoubtedly	1	99.99308	99.96990	99.99360	0.999935	0.999923	
undoing	1	99.99523	99.96990	99.99360	0.999956	0.999954	
undertook	1	99.99308	99.96990	99.99360	0.999940	0.999933	
understood	1	99.99308	99.96990	99.99360	0.999937	0.999927	
understands	1	99.99308	99.96990	99.99360	0.999934	0.999922	
underlined	1	99.99308	99.96990	99.99360	0.999937	0.999927	
understanding	1	99.99308	99.96990	99.99360	0.999928	0.999911	
understandably	1	99.99523	99.96990	99.99360	0.999927	0.999908	
undergrowth	1	99.99308	99.96990	99.99360	0.999934	0.999922	
underdog	1	99.99308	99.96990	99.99360	0.999943	0.999938	
undefeated	1	99.99308	99.96990	99.99360	0.999937	0.999927	
undamaged	1	99.99523	99.96990	99.99360	0.999950	0.999943	
uncovered	1	99.99308	99.96990	99.99360	0.999940	0.999933	
unconstitutional	1	99.99381	99.96990	99.99360	0.999919	0.999895	
unbelievably	1	99.99308	99.96990	99.99360	0.999932	0.999917	
uncertainty	1	99.99308	99.96990	99.99360	0.999935	0.999923	
unchallenged	1	99.99308	99.96990	99.99360	0.999931	0.999916	
unbeaten	1	99.99308	99.96990	99.99360	0.999943	0.999938	
unaware	1	99.99523	99.96990	99.99360	0.999947	0.999944	
unanswered	1	99.99308	99.96990	99.99360	0.999937	0.999927	
ums	1	99.99308	99.96990	99.99360	0.999958	0.999965	
umknicken	1	99.99308	99.96990	99.99360	0.999940	0.999933	
unable	1	99.99308	99.96990	99.99360	0.999949	0.999949	
umbrella	1	99.99308	99.96990	99.99360	0.999943	0.999938	
ultra	1	99.99308	99.96990	99.99360	0.999952	0.999954	
