Type	Frequency	CHRF1	CHRF3
upheld	1	0.999967	0.999952	
updates	1	0.999964	0.999947	
upcoming	1	0.999961	0.999942	
unusual	1	0.999964	0.999947	
unsettle	1	0.999961	0.999942	
unrest	1	0.999967	0.999952	
unpresidential	1	0.999953	0.999919	
unparalleled	1	0.999949	0.999920	
unofficial	1	0.999955	0.999931	
unnecessarily	1	0.999946	0.999915	
unmistakable	1	0.999949	0.999920	
unless	1	0.999967	0.999952	
unknowns	1	0.999961	0.999942	
unleashed	1	0.999958	0.999936	
unity	1	0.999985	0.999973	
unions	1	0.999967	0.999952	
unionists	1	0.999958	0.999936	
unionist	1	0.999961	0.999942	
unintentionally	1	0.999950	0.999914	
unfortunate	1	0.999957	0.999930	
ungrudingly	1	0.999952	0.999925	
undoubtedly	1	0.999952	0.999925	
unfair	1	0.999967	0.999952	
undoing	1	0.999974	0.999957	
undertook	1	0.999958	0.999936	
understands	1	0.999952	0.999925	
understood	1	0.999955	0.999931	
understanding	1	0.999946	0.999915	
underdog	1	0.999961	0.999942	
underlined	1	0.999955	0.999931	
undergrowth	1	0.999952	0.999925	
understandably	1	0.999944	0.999910	
undamaged	1	0.999968	0.999946	
uncovered	1	0.999958	0.999936	
undefeated	1	0.999955	0.999931	
unconstitutional	1	0.999937	0.999898	
unchallenged	1	0.999949	0.999920	
uncertainty	1	0.999952	0.999925	
unanswered	1	0.999955	0.999931	
unbeaten	1	0.999961	0.999942	
unaware	1	0.999965	0.999948	
unbelievably	1	0.999949	0.999920	
unable	1	0.999967	0.999952	
ums	1	0.999976	0.999969	
umknicken	1	0.999958	0.999936	
ultra	1	0.999970	0.999958	
ultimatum	1	0.999958	0.999936	
umbrella	1	0.999961	0.999942	
ulrich	1	0.999967	0.999952	
ulrike	1	0.999967	0.999952	
uk	1	0.999979	0.999974	
uefa	1	0.999973	0.999963	
udo	1	0.999976	0.999969	
tyrol	1	0.999970	0.999958	
u	1	0.999982	0.999979	
twittered	1	0.999958	0.999936	
tweets	1	0.999967	0.999952	
tweet	1	0.999980	0.999968	
turntable	1	0.999963	0.999941	
turquoise	1	0.999963	0.999941	
tvh	1	0.999976	0.999969	
turning	1	0.999964	0.999947	
turnover	1	0.999961	0.999942	
turkeymeat	1	0.999955	0.999931	
turnaround	1	0.999955	0.999931	
turbulence	1	0.999955	0.999931	
tuck	1	0.999973	0.999963	
tumultuous	1	0.999955	0.999931	
tuan	1	0.999983	0.999973	
truth	1	0.999970	0.999958	
tubes	1	0.999970	0.999958	
troubled	1	0.999961	0.999942	
trouble	1	0.999964	0.999947	
triumph	1	0.999979	0.999962	
troglauer	1	0.999958	0.999936	
trio	1	0.999973	0.999963	
trimming	1	0.999971	0.999952	
triggered	1	0.999958	0.999936	
tries	1	0.999970	0.999958	
trick	1	0.999970	0.999958	
tricks	1	0.999967	0.999952	
trenkamp	1	0.999961	0.999942	
trial	1	0.999980	0.999968	
trends	1	0.999970	0.999955	
treff	1	0.999970	0.999958	
treasurer	1	0.999958	0.999936	
treasure	1	0.999961	0.999942	
traveling	1	0.999963	0.999941	
traveled	1	0.999961	0.999942	
traverses	1	0.999963	0.999941	
transparency	1	0.999949	0.999920	
transmission	1	0.999949	0.999920	
transformed	1	0.999952	0.999925	
transferring	1	0.999954	0.999925	
transferred	1	0.999957	0.999930	
tram	1	0.999973	0.999963	
trafficking	1	0.999962	0.999936	
tragic	1	0.999973	0.999958	
traditionally	1	0.999946	0.999915	
traces	1	0.999967	0.999952	
trace	1	0.999976	0.999964	
toy	1	0.999976	0.999969	
towed	1	0.999970	0.999958	
tours	1	0.999970	0.999958	
tourist	1	0.999964	0.999947	
tour	1	0.999983	0.999973	
touches	1	0.999964	0.999947	
touched	1	0.999969	0.999952	
tottered	1	0.999961	0.999942	
tore	1	0.999974	0.999964	
torture	1	0.999964	0.999947	
tornadoes	1	0.999958	0.999936	
toothless	1	0.999963	0.999941	
topless	1	0.999964	0.999947	
tönnishäuschen	1	0.999943	0.999909	
tongues	1	0.999974	0.999957	
tongchang	1	0.999958	0.999936	
tone	1	0.999978	0.999968	
tomohiro	1	0.999961	0.999942	
tombola	1	0.999964	0.999947	
tolu	1	0.999973	0.999963	
tölle	1	0.999980	0.999968	
toes	1	0.999983	0.999973	
toddler	1	0.999964	0.999947	
tmz	1	0.999976	0.999969	
titanic	1	0.999964	0.999947	
tire	1	0.999973	0.999963	
tina	1	0.999988	0.999978	
tirades	1	0.999964	0.999947	
tip	1	0.999976	0.999969	
timmelsjoch	1	0.999952	0.999925	
tightening	1	0.999955	0.999931	
till	1	0.999978	0.999968	
timbered	1	0.999961	0.999942	
tightened	1	0.999958	0.999936	
tigers	1	0.999967	0.999952	
ties	1	0.999973	0.999963	
tickets	1	0.999964	0.999947	
ticker	1	0.999967	0.999952	
thumping	1	0.999961	0.999942	
thurnau	1	0.999964	0.999947	
thrust	1	0.999967	0.999952	
threats	1	0.999964	0.999947	
throwing	1	0.999961	0.999942	
thrower	1	0.999964	0.999947	
threatened	1	0.999955	0.999931	
thousand	1	0.999961	0.999942	
thirty	1	0.999967	0.999952	
thiemann	1	0.999961	0.999942	
thinking	1	0.999961	0.999942	
thinks	1	0.999976	0.999961	
theresia	1	0.999961	0.999942	
thereupon	1	0.999973	0.999951	
theresa	1	0.999964	0.999947	
theo	1	0.999973	0.999963	
thereby	1	0.999966	0.999949	
theirs	1	0.999972	0.999957	
theater	1	0.999974	0.999957	
thale	1	0.999970	0.999958	
text	1	0.999973	0.999963	
texts	1	0.999970	0.999958	
tettau	1	0.999967	0.999952	
tested	1	0.999967	0.999952	
terror	1	0.999967	0.999952	
terrorist	1	0.999958	0.999936	
testing	1	0.999964	0.999947	
terrace	1	0.999964	0.999947	
terminology	1	0.999962	0.999936	
terminated	1	0.999965	0.999941	
termination	1	0.999952	0.999925	
tenure	1	0.999977	0.999963	
tenths	1	0.999967	0.999952	
tenth	1	0.999973	0.999961	
tendency	1	0.999961	0.999942	
tempo	1	0.999970	0.999958	
temporarily	1	0.999952	0.999925	
temperatures	1	0.999949	0.999920	
tells	1	0.999970	0.999958	
telekom	1	0.999964	0.999947	
technician	1	0.999955	0.999931	
technicians	1	0.999957	0.999930	
technically	1	0.999952	0.999925	
teaches	1	0.999964	0.999947	
tears	1	0.999976	0.999964	
tear	1	0.999973	0.999963	
tech	1	0.999973	0.999963	
tax	1	0.999986	0.999979	
tauern	1	0.999967	0.999952	
tata	1	0.999983	0.999973	
tasty	1	0.999970	0.999958	
tassels	1	0.999964	0.999947	
tapped	1	0.999972	0.999957	
target	1	0.999977	0.999963	
tap	1	0.999976	0.999969	
tania	1	0.999971	0.999959	
tangible	1	0.999961	0.999942	
tampering	1	0.999958	0.999936	
tally	1	0.999970	0.999958	
tall	1	0.999973	0.999963	
tagesspiegel	1	0.999949	0.999920	
tail	1	0.999976	0.999966	
synthesizer	1	0.999952	0.999925	
tagespost	1	0.999973	0.999951	
tactics	1	0.999964	0.999947	
tackled	1	0.999969	0.999952	
tackle	1	0.999972	0.999957	
sympathizers	1	0.999949	0.999920	
symbolizing	1	0.999952	0.999925	
symphony	1	0.999961	0.999942	
symbolically	1	0.999950	0.999921	
swipe	1	0.999980	0.999968	
symbol	1	0.999967	0.999952	
swept	1	0.999976	0.999964	
swen	1	0.999988	0.999978	
swedish	1	0.999969	0.999952	
sweet	1	0.999970	0.999958	
sweating	1	0.999961	0.999942	
swabian	1	0.999967	0.999950	
sven	1	0.999973	0.999963	
swabia	1	0.999967	0.999952	
suv	1	0.999976	0.999969	
suspicion	1	0.999964	0.999942	
suspect	1	0.999964	0.999947	
sustenance	1	0.999966	0.999942	
suspense	1	0.999961	0.999942	
suspended	1	0.999963	0.999941	
surviving	1	0.999958	0.999936	
survivor	1	0.999961	0.999942	
survived	1	0.999961	0.999942	
surrender	1	0.999958	0.999936	
surveillance	1	0.999949	0.999920	
surrounded	1	0.999955	0.999931	
surprising	1	0.999955	0.999931	
surging	1	0.999964	0.999947	
sure	1	0.999976	0.999966	
surgery	1	0.999969	0.999952	
supposedly	1	0.999955	0.999931	
supposed	1	0.999961	0.999942	
supported	1	0.999973	0.999951	
supports	1	0.999961	0.999942	
supplies	1	0.999971	0.999952	
supermarket	1	0.999952	0.999925	
superstar	1	0.999958	0.999936	
super	1	0.999970	0.999958	
summon	1	0.999967	0.999952	
sun	1	0.999982	0.999975	
sum	1	0.999976	0.999969	
summarized	1	0.999955	0.999931	
summarize	1	0.999958	0.999936	
suited	1	0.999967	0.999952	
suitcase	1	0.999961	0.999942	
suitability	1	0.999952	0.999925	
suitable	1	0.999961	0.999942	
sui	1	0.999976	0.999969	
suggestions	1	0.999967	0.999941	
suggest	1	0.999973	0.999956	
suggestion	1	0.999955	0.999931	
sufficiency	1	0.999952	0.999925	
suffers	1	0.999965	0.999948	
süd	1	0.999986	0.999979	
suck	1	0.999973	0.999963	
successive	1	0.999955	0.999931	
substituting	1	0.999949	0.999920	
subsidised	1	0.999955	0.999931	
subsidiaries	1	0.999949	0.999920	
subsidiary	1	0.999955	0.999931	
submission	1	0.999955	0.999931	
submit	1	0.999967	0.999952	
subscribed	1	0.999960	0.999936	
subcontracting	1	0.999943	0.999909	
suárez	1	0.999967	0.999952	
stuttgarters	1	0.999952	0.999923	
style	1	0.999975	0.999963	
stunted	1	0.999965	0.999948	
stump	1	0.999970	0.999958	
stumbled	1	0.999961	0.999942	
stumbling	1	0.999958	0.999936	
studied	1	0.999964	0.999947	
struggles	1	0.999958	0.999936	
structured	1	0.999955	0.999931	
structural	1	0.999955	0.999931	
strongly	1	0.999961	0.999942	
strongest	1	0.999958	0.999936	
strokes	1	0.999974	0.999957	
stronger	1	0.999961	0.999942	
stroke	1	0.999967	0.999952	
strohbücker	1	0.999952	0.999925	
strict	1	0.999967	0.999952	
stretches	1	0.999968	0.999946	
stressed	1	0.999971	0.999952	
stretched	1	0.999958	0.999936	
streamed	1	0.999961	0.999942	
stream	1	0.999977	0.999963	
strategy	1	0.999971	0.999952	
straight	1	0.999966	0.999947	
stranger	1	0.999961	0.999942	
stranded	1	0.999961	0.999942	
strasse	1	0.999964	0.999947	
-stories	1	0.999961	0.999942	
storey	1	0.999967	0.999952	
stored	1	0.999967	0.999952	
store	1	0.999980	0.999968	
storage	1	0.999974	0.999957	
stone	1	0.999970	0.999958	
stood	1	0.999970	0.999958	
stomped	1	0.999964	0.999947	
stolen	1	0.999977	0.999963	
stockheim	1	0.999958	0.999936	
stoch	1	0.999970	0.999958	
stinks	1	0.999967	0.999952	
stimme	1	0.999973	0.999958	
sticks	1	0.999973	0.999958	
sternfarben	1	0.999952	0.999925	
stevermüer	1	0.999955	0.999931	
stephan	1	0.999973	0.999956	
steps	1	0.999975	0.999963	
steinhagen	1	0.999960	0.999936	
steinmeier	1	0.999967	0.999943	
steinfurt	1	0.999958	0.999936	
steep	1	0.999970	0.999958	
steinbach	1	0.999958	0.999936	
steben	1	0.999977	0.999963	
stealthy	1	0.999961	0.999942	
steam	1	0.999970	0.999958	
stays	1	0.999970	0.999958	
stealing	1	0.999961	0.999942	
stayed	1	0.999972	0.999957	
status	1	0.999967	0.999952	
statistics	1	0.999955	0.999931	
states	1	0.999967	0.999952	
statistical	1	0.999952	0.999925	
stationed	1	0.999958	0.999936	
starving	1	0.999967	0.999948	
starve	1	0.999967	0.999952	
standstill	1	0.999955	0.999931	
starters	1	0.999961	0.999942	
standings	1	0.999958	0.999936	
standard	1	0.999961	0.999942	
stamp	1	0.999970	0.999958	
stalling	1	0.999961	0.999942	
stallmann	1	0.999963	0.999941	
stainless	1	0.999967	0.999945	
stadtmarketing	1	0.999948	0.999914	
stagnated	1	0.999968	0.999946	
stadthalle	1	0.999955	0.999931	
stadt	1	0.999970	0.999958	
stadiums	1	0.999971	0.999952	
stacked	1	0.999964	0.999947	
stable	1	0.999978	0.999964	
stabbed	1	0.999969	0.999952	
squeaking	1	0.999961	0.999939	
st.	1	0.999976	0.999969	
ssc	1	0.999976	0.999969	
squander	1	0.999961	0.999942	
sprung	1	0.999967	0.999952	
spy	1	0.999976	0.999969	
spritz	1	0.999980	0.999966	
sprint	1	0.999967	0.999952	
spring	1	0.999977	0.999963	
sprays	1	0.999967	0.999952	
spreading	1	0.999958	0.999936	
sprayed	1	0.999964	0.999947	
spotlight	1	0.999968	0.999946	
spots	1	0.999970	0.999958	
spot	1	0.999973	0.999963	
sporty	1	0.999967	0.999952	
sportstudio	1	0.999958	0.999931	
sponsored	1	0.999958	0.999936	
spiritual	1	0.999958	0.999936	
spellmeyer	1	0.999955	0.999931	
spite	1	0.999976	0.999964	
spoiled	1	0.999964	0.999947	
speculate	1	0.999958	0.999936	
spectrum	1	0.999964	0.999945	
spectacle	1	0.999963	0.999941	
spectacular	1	0.999952	0.999925	
specifications	1	0.999943	0.999909	
specifically	1	0.999949	0.999920	
specific	1	0.999961	0.999942	
sparse	1	0.999967	0.999952	
specialist	1	0.999955	0.999931	
specialty	1	0.999958	0.999936	
spangenberg	1	0.999952	0.999925	
sparring	1	0.999961	0.999942	
sparks	1	0.999967	0.999952	
spacious	1	0.999961	0.999942	
spacex	1	0.999967	0.999952	
sown	1	0.999973	0.999963	
southern	1	0.999966	0.999947	
southampton	1	0.999952	0.999925	
souza	1	0.999975	0.999963	
soup	1	0.999973	0.999963	
sounds	1	0.999967	0.999952	
sounding	1	0.999971	0.999952	
sounded	1	0.999964	0.999947	
soundcheck	1	0.999955	0.999931	
sought	1	0.999967	0.999952	
sorry	1	0.999979	0.999967	
sos	1	0.999991	0.999984	
sonneberg	1	0.999958	0.999936	
songwriters	1	0.999957	0.999930	
sonar	1	0.999970	0.999958	
somehow	1	0.999964	0.999947	
solidʺ	1	0.999982	0.999968	
soldiers	1	0.999961	0.999942	
soldier	1	0.999974	0.999957	
solaris	1	0.999964	0.999947	
soil	1	0.999983	0.999973	
sociology	1	0.999961	0.999939	
software	1	0.999961	0.999942	
socially	1	0.999961	0.999942	
sober	1	0.999975	0.999963	
sociable	1	0.999961	0.999942	
snowfalls	1	0.999958	0.999936	
snapped	1	0.999964	0.999947	
snipers	1	0.999974	0.999957	
smolka	1	0.999972	0.999957	
smartphone	1	0.999955	0.999931	
slurping	1	0.999961	0.999942	
slowly	1	0.999967	0.999952	
slogan	1	0.999967	0.999952	
slits	1	0.999970	0.999958	
slides	1	0.999967	0.999952	
slap	1	0.999973	0.999963	
sliding	1	0.999964	0.999947	
slam	1	0.999973	0.999963	
skipper	1	0.999964	0.999947	
skyliners	1	0.999958	0.999936	
skillfully	1	0.999955	0.999931	
skatepark	1	0.999958	0.999936	
sitting	1	0.999965	0.999948	
skateboard	1	0.999960	0.999936	
sixty	1	0.999970	0.999958	
sites	1	0.999970	0.999958	
sister	1	0.999976	0.999961	
siren	1	0.999975	0.999963	
sinks	1	0.999970	0.999958	
singing	1	0.999964	0.999947	
sings	1	0.999975	0.999963	
sinaloa	1	0.999964	0.999947	
simmering	1	0.999958	0.999936	
significant	1	0.999962	0.999936	
silva	1	0.999975	0.999963	
silently	1	0.999976	0.999957	
signing	1	0.999969	0.999952	
significance	1	0.999949	0.999920	
shyness	1	0.999964	0.999947	
siegrid	1	0.999964	0.999947	
signal	1	0.999967	0.999952	
sigh	1	0.999973	0.999963	
shunted	1	0.999974	0.999957	
shuttle	1	0.999964	0.999947	
shunters	1	0.999964	0.999945	
shrug	1	0.999970	0.999958	
shreds	1	0.999977	0.999963	
shorts	1	0.999967	0.999952	
showcased	1	0.999958	0.999936	
shouts	1	0.999967	0.999952	
shout	1	0.999970	0.999958	
shorter	1	0.999964	0.999947	
shortcoming	1	0.999952	0.999925	
shortages	1	0.999958	0.999936	
shops	1	0.999970	0.999958	
shopping	1	0.999961	0.999942	
shop	1	0.999982	0.999972	
shocks	1	0.999973	0.999958	
shitty	1	0.999972	0.999957	
shelves	1	0.999964	0.999947	
shoah	1	0.999970	0.999958	
shed	1	0.999973	0.999963	
shawn	1	0.999970	0.999958	
sharply	1	0.999964	0.999947	
shining	1	0.999964	0.999947	
shaped	1	0.999967	0.999952	
shame	1	0.999970	0.999958	
shape	1	0.999970	0.999958	
shall	1	0.999970	0.999958	
shaking	1	0.999964	0.999947	
shaken	1	0.999967	0.999952	
shady	1	0.999980	0.999968	
sgb	1	0.999976	0.999969	
sf	1	0.999994	0.999989	
severely	1	0.999961	0.999942	
settlements	1	0.999962	0.999936	
setup	1	0.999970	0.999958	
serving	1	0.999964	0.999947	
sermon	1	0.999967	0.999952	
serbian	1	0.999964	0.999947	
sequences	1	0.999958	0.999936	
separation	1	0.999955	0.999931	
serves	1	0.999967	0.999952	
separating	1	0.999970	0.999946	
seoul	1	0.999970	0.999958	
sentenced	1	0.999960	0.999938	
senses	1	0.999967	0.999952	
sentence	1	0.999966	0.999947	
sending	1	0.999964	0.999947	
sells	1	0.999970	0.999958	
selling	1	0.999964	0.999947	
sell	1	0.999983	0.999973	
seidel	1	0.999967	0.999952	
segment	1	0.999967	0.999950	
seger	1	0.999970	0.999958	
seem	1	0.999973	0.999963	
seeking	1	0.999964	0.999947	
seekers	1	0.999964	0.999947	
seek	1	0.999973	0.999963	
seduction	1	0.999958	0.999936	
secretary	1	0.999958	0.999936	
secular	1	0.999964	0.999947	
sechseläutenplatz	1	0.999934	0.999893	
sébastien	1	0.999958	0.999936	
sebástian	1	0.999967	0.999945	
seats	1	0.999970	0.999958	
seater	1	0.999977	0.999963	
seated	1	0.999967	0.999952	
seat	1	0.999973	0.999963	
seamlessly	1	0.999955	0.999931	
seal	1	0.999973	0.999963	
scroll	1	0.999973	0.999958	
scotches	1	0.999961	0.999942	
screen	1	0.999967	0.999952	
scope	1	0.999981	0.999969	
schwegler	1	0.999958	0.999936	
schwarze	1	0.999970	0.999951	
schwalmstadt	1	0.999949	0.999920	
schwaben	1	0.999961	0.999942	
schulz	1	0.999967	0.999952	
schwackenberg	1	0.999961	0.999930	
schuhmacher	1	0.999962	0.999936	
schultz	1	0.999964	0.999947	
schuhfabrik	1	0.999952	0.999925	
schomacher	1	0.999955	0.999931	
scholz	1	0.999967	0.999952	
schmid	1	0.999967	0.999952	
schlautmann	1	0.999952	0.999925	
schlögl	1	0.999964	0.999947	
schellfischposten	1	0.999940	0.999899	
schipmann	1	0.999968	0.999946	
scheduled	1	0.999958	0.999936	
schapdetten	1	0.999952	0.999925	
scenes	1	0.999972	0.999957	
schedule	1	0.999971	0.999952	
scandinavia	1	0.999962	0.999936	
scattered	1	0.999958	0.999936	
scandals	1	0.999966	0.999947	
scam	1	0.999973	0.999963	
sca	1	0.999976	0.999969	
sawija	1	0.999967	0.999952	
savory	1	0.999967	0.999952	
savings	1	0.999964	0.999947	
saves	1	0.999970	0.999958	
sau	1	0.999982	0.999975	
sascha	1	0.999967	0.999952	
sator	1	0.999970	0.999958	
sanitary	1	0.999961	0.999942	
santo	1	0.999982	0.999970	
sané	1	0.999973	0.999963	
sandwiches	1	0.999955	0.999931	
sandstone	1	0.999963	0.999941	
sanctuary	1	0.999958	0.999936	
sales	1	0.999970	0.999958	
salary	1	0.999977	0.999963	
sahin	1	0.999979	0.999967	
sailor	1	0.999972	0.999957	
sailed	1	0.999967	0.999952	
safety	1	0.999972	0.999957	
saalfeld	1	0.999961	0.999942	
ryanair	1	0.999979	0.999962	
s.	1	0.999979	0.999974	
safer	1	0.999980	0.999968	
rwe	1	0.999977	0.999970	
rushes	1	0.999967	0.999952	
ryan	1	0.999973	0.999963	
ruschhaupt	1	0.999955	0.999931	
rus	1	0.999976	0.999969	
rupert	1	0.999967	0.999952	
runs	1	0.999973	0.999963	
runoff	1	0.999967	0.999952	
rund	1	0.999973	0.999963	
rummage	1	0.999969	0.999952	
ruling	1	0.999967	0.999952	
ruled	1	0.999970	0.999958	
rudolf	1	0.999967	0.999952	
rui	1	0.999976	0.999969	
rüdesheim	1	0.999958	0.999936	
rüdiger	1	0.999964	0.999947	
rows	1	0.999973	0.999963	
rover	1	0.999970	0.999958	
rubit	1	0.999970	0.999958	
rückraum	1	0.999961	0.999942	
route	1	0.999970	0.999958	
roughly	1	0.999979	0.999962	
rounds	1	0.999967	0.999952	
rotkäpchenland	1	0.999943	0.999909	
rothenkirchen	1	0.999946	0.999915	
rotkäppchenland	1	0.999940	0.999904	
roth	1	0.999973	0.999963	
rose	1	0.999973	0.999963	
rooms	1	0.999970	0.999958	
root	1	0.999973	0.999963	
ronnenberg	1	0.999965	0.999941	
ronja	1	0.999970	0.999958	
romance	1	0.999964	0.999947	
roland	1	0.999967	0.999952	
rokas	1	0.999970	0.999958	
roer	1	0.999983	0.999973	
roedental	1	0.999958	0.999936	
rocking	1	0.999964	0.999947	
rödental	1	0.999962	0.999943	
rodrigues	1	0.999958	0.999936	
rockets	1	0.999964	0.999947	
robin	1	0.999975	0.999963	
rob	1	0.999976	0.999969	
rnd	1	0.999982	0.999975	
risked	1	0.999967	0.999952	
risky	1	0.999970	0.999958	
rises	1	0.999970	0.999958	
risen	1	0.999979	0.999967	
rise	1	0.999973	0.999963	
ripe	1	0.999978	0.999968	
rioted	1	0.999972	0.999957	
riot	1	0.999978	0.999968	
rinse	1	0.999970	0.999958	
río	1	0.999976	0.999969	
rim	1	0.999976	0.999969	
riesen	1	0.999967	0.999952	
rike	1	0.999973	0.999963	
ried	1	0.999973	0.999963	
riders	1	0.999967	0.999952	
ride	1	0.999973	0.999963	
rid	1	0.999976	0.999969	
richard	1	0.999964	0.999947	
rich	1	0.999973	0.999963	
ribbon	1	0.999967	0.999952	
revived	1	0.999969	0.999952	
rhymes	1	0.999977	0.999963	
revision	1	0.999961	0.999942	
reveal	1	0.999967	0.999952	
review	1	0.999982	0.999968	
reuss	1	0.999970	0.999958	
returns	1	0.999965	0.999948	
retrofits	1	0.999958	0.999936	
returned	1	0.999961	0.999942	
retrofit	1	0.999961	0.999942	
retreating	1	0.999965	0.999941	
retreated	1	0.999958	0.999936	
retreat	1	0.999974	0.999957	
retiree	1	0.999969	0.999952	
resulting	1	0.999961	0.999939	
retirement	1	0.999955	0.999931	
restricted	1	0.999965	0.999941	
restructuring	1	0.999961	0.999930	
restraint	1	0.999959	0.999937	
restrained	1	0.999955	0.999931	
responsibility	1	0.999943	0.999909	
resting	1	0.999964	0.999947	
response	1	0.999976	0.999957	
responders	1	0.999955	0.999931	
responded	1	0.999958	0.999936	
resperger	1	0.999958	0.999936	
respective	1	0.999960	0.999936	
resolved	1	0.999961	0.999942	
respected	1	0.999968	0.999946	
resigns	1	0.999964	0.999947	
residence	1	0.999958	0.999936	
reserves	1	0.999966	0.999947	
research	1	0.999961	0.999942	
reschedules	1	0.999952	0.999925	
requiring	1	0.999958	0.999936	
requirements	1	0.999949	0.999920	
require	1	0.999964	0.999947	
required	1	0.999971	0.999952	
requested	1	0.999958	0.999936	
represented	1	0.999962	0.999936	
republican	1	0.999955	0.999931	
reporters	1	0.999963	0.999941	
replacing	1	0.999958	0.999936	
replacements	1	0.999949	0.999920	
repeatedly	1	0.999955	0.999931	
repertoire	1	0.999960	0.999936	
repeated	1	0.999966	0.999947	
repatriation	1	0.999949	0.999920	
renovation	1	0.999955	0.999931	
reorganization	1	0.999944	0.999910	
renegotiation	1	0.999946	0.999915	
renato	1	0.999982	0.999968	
renaissance	1	0.999962	0.999936	
remove	1	0.999972	0.999957	
reminiscent	1	0.999952	0.999925	
reminds	1	0.999964	0.999947	
remedy	1	0.999967	0.999952	
remarkable	1	0.999955	0.999931	
remember	1	0.999961	0.999942	
remaining	1	0.999958	0.999936	
remainder	1	0.999958	0.999936	
relocated	1	0.999958	0.999936	
religious	1	0.999958	0.999936	
religion	1	0.999971	0.999952	
relegation	1	0.999955	0.999931	
relegated	1	0.999958	0.999936	
relationships	1	0.999949	0.999918	
relatively	1	0.999955	0.999931	
rejected	1	0.999961	0.999942	
rejects	1	0.999964	0.999947	
reiling	1	0.999964	0.999947	
reiter	1	0.999979	0.999964	
reigns	1	0.999967	0.999952	
reign	1	0.999970	0.999958	
rehweiler	1	0.999963	0.999941	
regulation	1	0.999965	0.999941	
regulations	1	0.999952	0.999925	
regrets	1	0.999965	0.999948	
registration	1	0.999949	0.999920	
regime	1	0.999967	0.999952	
regeneration	1	0.999949	0.999920	
regained	1	0.999971	0.999952	
refused	1	0.999964	0.999947	
refuse	1	0.999968	0.999953	
refrigerator	1	0.999949	0.999920	
refrigerators	1	0.999946	0.999915	
reflector	1	0.999958	0.999936	
reflect	1	0.999964	0.999947	
referenced	1	0.999955	0.999931	
references	1	0.999955	0.999931	
reference	1	0.999958	0.999936	
reduce	1	0.999967	0.999952	
redeemed	1	0.999961	0.999942	
referee	1	0.999979	0.999962	
redaktionsnetzwerk	1	0.999931	0.999887	
reefs	1	0.999970	0.999958	
recruiting	1	0.999955	0.999931	
recruited	1	0.999958	0.999936	
recovered	1	0.999958	0.999936	
records	1	0.999964	0.999947	
reconciliatory	1	0.999943	0.999909	
reconstruction	1	0.999943	0.999909	
recommended	1	0.999952	0.999925	
reckenfelder	1	0.999949	0.999920	
recipient	1	0.999958	0.999936	
recapture	1	0.999958	0.999936	
recognizes	1	0.999955	0.999931	
recognized	1	0.999955	0.999931	
recalled	1	0.999961	0.999942	
recall	1	0.999967	0.999952	
rear	1	0.999973	0.999963	
reaped	1	0.999967	0.999952	
reaction	1	0.999961	0.999942	
realization	1	0.999952	0.999925	
realise	1	0.999964	0.999947	
reacts	1	0.999982	0.999968	
raw	1	0.999976	0.999969	
rattling	1	0.999961	0.999942	
ravaged	1	0.999964	0.999947	
rattle	1	0.999967	0.999952	
ratiopharm	1	0.999955	0.999931	
rating	1	0.999967	0.999952	
ratio	1	0.999970	0.999958	
rasmussen	1	0.999958	0.999936	
rate	1	0.999973	0.999963	
rarity	1	0.999967	0.999952	
rashford	1	0.999961	0.999942	
rapid	1	0.999985	0.999973	
ransmann	1	0.999961	0.999942	
rape	1	0.999973	0.999963	
ranks	1	0.999970	0.999958	
range	1	0.999980	0.999968	
rank	1	0.999973	0.999963	
rang	1	0.999973	0.999963	
ranging	1	0.999964	0.999947	
ramparts	1	0.999961	0.999942	
rampant	1	0.999964	0.999947	
rammed	1	0.999967	0.999952	
ramp	1	0.999973	0.999963	
ralf	1	0.999973	0.999963	
raises	1	0.999972	0.999957	
railroad	1	0.999966	0.999947	
railroader	1	0.999955	0.999931	
rain	1	0.999973	0.999963	
radika	1	0.999967	0.999952	
rail	1	0.999973	0.999963	
radical	1	0.999964	0.999947	
race	1	0.999973	0.999963	
r	1	0.999982	0.999979	
quotas	1	0.999967	0.999952	
quiz	1	0.999973	0.999963	
quits	1	0.999970	0.999958	
questioned	1	0.999955	0.999931	
quietly	1	0.999964	0.999947	
quiche	1	0.999967	0.999952	
queen	1	0.999970	0.999958	
quentin	1	0.999953	0.999941	
quartett	1	0.999961	0.999942	
quarrels	1	0.999961	0.999942	
qualify	1	0.999964	0.999947	
quantity	1	0.999961	0.999942	
quake	1	0.999970	0.999958	
putinzewa	1	0.999963	0.999941	
putting	1	0.999964	0.999947	
pyeonchang	1	0.999965	0.999941	
pursuers	1	0.999971	0.999952	
pushing	1	0.999964	0.999947	
pursuer	1	0.999964	0.999947	
purposes	1	0.999961	0.999942	
purely	1	0.999967	0.999952	
purchasing	1	0.999958	0.999934	
pump	1	0.999973	0.999963	
pulling	1	0.999964	0.999947	
pumpe	1	0.999970	0.999958	
pumpkin	1	0.999964	0.999947	
pulled	1	0.999967	0.999952	
puigdemont	1	0.999955	0.999931	
pudding	1	0.999964	0.999947	
publishing	1	0.999955	0.999931	
publication	1	0.999952	0.999925	
pubic	1	0.999970	0.999958	
pt	1	0.999979	0.999974	
pseudonym	1	0.999958	0.999936	
prskavec	1	0.999961	0.999942	
provocative	1	0.999952	0.999925	
